id,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
1wPRqq1czM3ny6189e56mq,0.0104,0.602,0.901,0.00677,0.0799,-3.842,0.0854,94.57,0.362
1WQFOwtI6EfsvRz7wcDbQm,0.0801,0.416,0.459,0.00653,0.0551,-6.814,0.0317,164.929,0.286
1wQPcfKUzpzrf6gcVqQh04,0.00221,0.555,0.97,0,0.122,-2.036,0.0787,112.564,0.677
1WQvmGZIMBmapHL3Garw7e,0.122,0.567,0.539,0,0.11,-11.203,0.169,91.205,0.429
1wrFUny4CRCDV5wTMv7RYK,0.621,0.569,0.679,0.000125,0.135,-7.784,0.0297,149.346,0.54
1WrPa4lrIddctGWAIYYfP9,0.955,0.236,0.261,0.0245,0.424,-13.647,0.0374,93.383,0.106
1wRQqmZwiF4thdQ8N7FiNv,0.18,0.626,0.417,0.000164,0.111,-8.216,0.146,173.629,0.209
1wRvycpAMRdVEuQro58x4x,0.0172,0.558,0.508,7.30E-05,0.114,-12.074,0.0598,83.087,0.802
1Wrzhfa5bNlqvsnCztz190,0.0031,0.603,0.843,0.0337,0.445,-7.597,0.0557,172.676,0.503
1WrZt2KU5quTomnPATtuY9,0.376,0.602,0.734,4.79E-06,0.277,-9.514,0.0478,169.767,0.871
1WRzux3cJRM9xRNN99QKgR,0.28,0.777,0.707,0,0.0749,-4.85,0.286,159.662,0.614
1WS27lReDP65JMqZ5ygBPF,0.205,0.785,0.514,0,0.0868,-8.716,0.0617,74.029,0.692
1Wsbr1d2BouNGk2q92mIj7,0.552,0.674,0.752,0,0.787,-4.073,0.333,145.076,0.236
1WSEWiuB7KeEchBhvRb7qX,0.654,0.438,0.261,0.346,0.115,-11.238,0.0422,152.07,0.431
1WSGTYKLEpKfNQYYW5Oymt,0.404,0.541,0.468,3.65E-06,0.358,-4.039,0.362,95.266,0.69
1wsLHgXJ4SKIfd5ePSX1hD,0.293,0.652,0.897,0,0.0722,-4.481,0.036,114.033,0.475
1wsnCfewxZlCs7cJxkaMZM,0.0102,0.474,0.843,0.104,0.362,-5.909,0.272,97.691,0.433
1wsRitfRRtWyEapl0q22o8,0.0129,0.599,0.957,7.06E-05,0.155,-5.764,0.188,103.68,0.489
1WsRuvitfegWXQJKRgRZrj,0.16,0.514,0.723,0,0.672,-8.748,0.406,89.14,0.587
1wsZ0cp5He4Wm4yohNjwIs,0.481,0.58,0.694,1.18E-06,0.109,-5.45,0.221,139.751,0.389
1WT11QmhZutciEv1NsHt1R,0.665,0.567,0.525,0,0.708,-9.043,0.75,86.935,0.416
1wt87z7ipHD4uhCJLA2p4N,0.145,0.44,0.774,0.36,0.0595,-9.523,0.0514,106.879,0.245
1WtaG6icoQw1g2JsnBaqKj,0.24,0.734,0.468,6.04E-06,0.0684,-13.479,0.0351,97.119,0.81
1wtcyTExLF8nZu9ZphHIl1,0.108,0.696,0.527,0.000897,0.0377,-14.275,0.0329,128.962,0.974
1WtdhlaiUoDTrVNSwaya0L,0.396,0.507,0.805,1.16E-06,0.106,-4.611,0.0867,167.983,0.513
1WteIZCYVo7qerccUz3cfw,0.965,0.673,0.227,7.67E-05,0.283,-15.177,0.103,112.762,0.42
1WtTLtofvcjQM3sXSMkDdX,0.00248,0.785,0.498,1.23E-06,0.224,-6.977,0.0533,143.96,0.418
1Wtuf21lB0Xon2zLUbSoFN,0.24,0.684,0.47,1.43E-05,0.342,-5.953,0.0248,129.963,0.26
1wU7z5XE8oa66ZvUlYAKfK,0.392,0.482,0.55,0.0208,0.111,-4.485,0.0267,114.435,0.353
1WujDB3odQoKJYJNvhgEGL,0.481,0.844,0.362,0.753,0.0663,-15.701,0.113,104.529,0.786
1wuqCUWHniGdEmOKZbQ1cg,0.0128,0.124,0.437,0,0.12,-8.21,0.0409,80.889,0.103
1wuRCnD6sLvs9YuIOlqqOj,0.648,0.679,0.546,3.62E-05,0.057,-12.609,0.0729,115.234,0.964
1WUt8SY17zIL49TxENehP5,0.91,0.272,0.126,0.000272,0.125,-20.155,0.0468,83.731,0.122
1wV6lCsV2PCeVZlyGTkVPt,0.165,0.46,0.511,0,0.122,-6.125,0.0274,72.934,0.324
1wv8bYmoqY3TAKKQY3Qn7t,0.000337,0.608,0.787,0.00782,0.111,-6.703,0.0277,113.796,0.474
1wva1IlWLDNLgwipUWcmjy,0.003,0.756,0.829,3.46E-05,0.0578,-3.973,0.0682,120.163,0.504
1wvb7JFKm9QeLJ7VNRmncw,0.101,0.717,0.52,0.676,0.0558,-11.659,0.0401,149.833,0.624
1wVcLKdJ4AFKPhKucNvEpy,0.228,0.558,0.522,0,0.104,-5.857,0.036,83.977,0.228
1wvfh9nzwgaiqms1dF5UpM,0.0491,0.522,0.797,0.00237,0.143,-6.854,0.0508,183.997,0.649
1WVO3p8uA0CoAEOjSeJ1fy,0.16,0.57,0.657,0,0.0947,-8.244,0.122,150.663,0.759
1wVqyP5MC3wJmOvEk9e6Ts,0.571,0.426,0.528,0.247,0.096,-10.634,0.0574,106.13,0.695
1wvs9V8xEJStRzx78lSNJK,0.00301,0.481,0.938,0.000153,0.0859,-4.759,0.0781,134.962,0.357
1wVUjggKup9hP2jd24gLSg,0.000229,0.42,0.996,0.00042,0.0897,-2.961,0.0804,105.686,0.433
1wW0iQDXyjmLl9Z0P18CWK,0.359,0.667,0.576,0.000718,0.694,-11.757,0.0385,151.775,0.925
1WWgMk8nD79p8VeKFGYrOw,0.00673,0.431,0.855,0.00114,0.639,-4.205,0.15,163.014,0.397
1WWVlkmJSdLBSiqF2m8Ex2,0.712,0.727,0.413,0.000158,0.0765,-9.621,0.0346,110.545,0.314
1wxA50yfhX9S7mI1MfqFcY,0.0285,0.551,0.514,5.58E-05,0.0419,-11.737,0.0295,76.347,0.645
1wXE6zvNWRz8GuMfEUgETz,0.00285,0.688,0.745,0.238,0.114,-10.323,0.0519,128.556,0.688
1WXEEP03cUcXYp96MxAO2M,0.655,0.409,0.427,1.33E-06,0.163,-11.083,0.0281,174.585,0.888
1wXuogT7bvqnhuWzDBNOdV,9.25E-05,0.503,0.96,0.578,0.274,-2.672,0.0626,162.022,0.489
1WXVfFRD89EtVURD4Tbixo,0.614,0.629,0.585,0.0725,0.129,-8.563,0.0269,102.984,0.523
1wXy6Be9qj6rUY00Ua58dq,0.00103,0.487,0.912,0.000172,0.278,-6.213,0.0684,126.269,0.601
1WYedq08MjytnpXfoM2dl2,0.00151,0.433,0.915,0,0.361,-5.095,0.0838,176.997,0.882
1WygPWqmNs4s2fxtjmtI3O,0.973,0.438,0.0172,0.557,0.0815,-23.66,0.0384,100.989,0.136
1WYHvGn6fQZRAmbD5TG51j,0.796,0.529,0.244,4.53E-05,0.105,-11.625,0.0283,139.725,0.246
1WyMiHfEO69oQ09LLcmD3P,0.00621,0.711,0.621,0.0297,0.159,-7.429,0.0382,142.065,0.607
1WYokrkFOb9TFVuTrmxTTt,0.536,0.632,0.397,0.0421,0.106,-12.855,0.0265,110.578,0.731
1wYp8ISMvX8qrflPrBU9Yo,0.00214,0.48,0.615,0,0.29,-7.269,0.362,72.851,0.201
1wYZZtamWTQAoj8B812uKQ,0.0785,0.376,0.821,0,0.0823,-3.974,0.104,120.462,0.331
1wz7B02oOtrTW6SNLG0cSk,0.807,0.86,0.332,0,0.106,-10.263,0.22,140.949,0.26
1WzAeadSKJhqykZFbJNmQv,0.337,0.744,0.637,0.000222,0.0696,-4.483,0.0241,100.511,0.785
1wZqJM5FGDEl3FjHDxDyQd,0.0511,0.717,0.347,2.43E-06,0.087,-10.265,0.0636,84.987,0.0589
1WzURQZuikUxVd0xiHMTKN,0.748,0.63,0.265,0.748,0.0983,-16.963,0.0427,130.045,0.657
1x0AirtLjfVquI0A9iBVep,0.000116,0.564,0.968,3.97E-05,0.226,-3.75,0.0631,103.885,0.352
1x0J8LFX23d5h1zzuzZorc,0.307,0.729,0.748,1.29E-06,0.09,-6.67,0.0245,99.981,0.928
1X0ZNb4aZVPZhBrgWwJBJE,0.971,0.142,0.0603,0.82,0.107,-25.089,0.045,97.955,0.107
1x1BKrrpq7CfOZPBeUsx16,0.597,0.543,0.298,1.49E-06,0.0804,-9.167,0.0683,125.523,0.254
1X1DWw2pcNZ8zSub3uhlNz,0.0653,0.421,0.873,0,0.123,-4.343,0.0565,84.803,0.63
1x1ENkGjxgRG3nmfEnS2XJ,0.155,0.427,0.675,0.0873,0.114,-9.76,0.0566,133.091,0.324
1X1KDnhTnb28tpJlgOV3lD,0.136,0.751,0.568,0,0.0288,-5.431,0.0872,128.002,0.646
1X34xjRBPeBVm2UNqL4KXO,7.66E-06,0.531,0.979,0.0196,0.0944,-4.686,0.0663,110.023,0.472
1x3bxSSANgIxkoyGldhmdX,0.699,0.619,0.427,0.00238,0.0823,-10.737,0.04,61.75,0.436
1X3T2J7S1s6aCIbmjFf2NG,0.795,0.359,0.391,0.0708,0.163,-8.034,0.026,154.66,0.19
1x3W8RZxW94lrVGhP95qA6,0.382,0.403,0.356,0,0.148,-7.547,0.0298,171.454,0.151
1X4Ntw6Lbaa1ACgilCqMpr,1.21E-05,0.421,0.95,0.000214,0.314,-3.985,0.0768,80.912,0.553
1x5sYLZiu9r5E43kMlt9f8,0.259,0.707,0.629,1.60E-05,0.138,-4.581,0.0563,122.863,0.457
1x6Hvhag5Rh9JwN5dSSBtU,0.683,0.572,0.47,0.969,0.381,-10.356,0.0285,110.002,0.251
1x6jPyUfLuTNQ3o5zykG2x,0.0265,0.639,0.69,0.000551,0.146,-10.047,0.264,119.63,0.579
1x6Zk7hoTIlSOFNZnyxjZD,0.0448,0.788,0.617,0,0.088,-4.516,0.0651,122.065,0.128
1X73QkxYJ8yAd7yrNCTmx7,0.989,0.218,0.11,0.0902,0.114,-24.477,0.0502,77.795,0.0371
1x8r3r17cmZ1jpX7B2B8y2,0.00108,0.575,0.882,0,0.0452,-4.295,0.109,120.994,0.581
1x8sna2LV8WQ38NEtN5X46,4.60E-05,0.431,0.823,3.45E-05,0.0447,-5.219,0.0638,150.072,0.271
1x9ahz0ALGHgbN9wwDjmre,0.721,0.415,0.37,1.64E-05,0.0736,-12.805,0.0378,116.85,0.648
1x9iOd3K1JC6tdjGZJpFgZ,0.118,0.65,0.535,0,0.187,-13.325,0.0282,173.8,0.9
1X9TmaFt15Yg9V34rvjbhX,0.988,0.0649,0.067,0.879,0.113,-28.414,0.0468,73.07,0.0306
1xADYlM5rjnbJvAW2tc0qF,0.894,0.52,0.35,0.000778,0.0895,-10.713,0.052,79.647,0.39
1xasoowGI2N5c4gykxKTlW,0.0712,0.583,0.778,1.23E-06,0.0753,-6.578,0.0459,134.945,0.673
1xaTXPoDk4VOU9XhYX4KJM,0.951,0.425,0.0429,0.0184,0.148,-24.86,0.0408,96.097,0.255
1xAubZVq0sOxsoSfm1PzqA,0.4,0.789,0.658,0,0.0578,-9.427,0.034,92.055,0.918
1XAzFYJR94m9T4AgshhO99,0.17,0.766,0.888,0.0416,0.277,-7.732,0.0362,122.015,0.732
1XAZlnVtthcDZt2NI1Dtxo,0.0158,0.617,0.872,0.112,0.408,-12.305,0.048,111.458,0.504
1Xb0Oz9aunX1lpq9T29PWh,0.241,0.723,0.883,0.301,0.095,-6.595,0.0645,109.534,0.849
1XBGTp6OqwYaYhemH3aMKT,0.0817,0.657,0.736,0,0.302,-7.73,0.0766,113.96,0.378
1xBIgVOzLS8zbi4vcFSqMK,0.528,0.224,0.493,0,0.0782,-7.499,0.0318,142.918,0.0739
1xBJA5AWj8LRJCkUwdjN1t,0.204,0.516,0.845,0.00155,0.0556,-9.701,0.224,141.927,0.499
1XbRHOvUHuwsGE2YFQrzwf,0.386,0.617,0.498,3.13E-05,0.104,-8.865,0.122,143.775,0.833
1xbw6jObdWhPSoN9MflOSA,0.43,0.734,0.741,0.0194,0.0693,-7.016,0.0627,92.015,0.838
1Xc5je0OAbXF8yhtXhdPEW,0.000199,0.491,0.917,0.0303,0.355,-3.278,0.037,99.067,0.295
1XCqGflyHjZAE1BnRqWUc9,0.852,0.491,0.0475,0.778,0.133,-20.149,0.0454,153.776,0.104
1xCqIXCApBgcjwRLostpKl,0.163,0.738,0.804,0,0.826,-4.286,0.0821,120.017,0.717
1XCt27nKEY66dBkvBWBmnV,0.117,0.663,0.729,0.0138,0.672,-10.704,0.0556,106.213,0.963
1XcXhu1X0xBFMDFyq0b7Ue,0.392,0.776,0.513,0,0.0642,-6.757,0.0872,153.934,0.813
1XcxubL4Y4U4gxLeIbb8VM,0.241,0.333,0.457,0.0399,0.16,-7.295,0.0307,172.143,0.279
1xD3wZJSJEczE0WOVUhIkE,0.317,0.349,0.799,2.72E-06,0.835,-7.155,0.0681,134.144,0.708
1XE1UGRpvvkaFEeqe1OJpw,0.444,0.655,0.433,0,0.221,-7.577,0.0348,130.127,0.199
1xe4IvNW94G8R4KCHrLUt6,0.763,0.621,0.174,0,0.0777,-16.702,0.0693,141.465,0.659
1xeMq87xBMSLpjXo85jIOQ,2.43E-05,0.432,0.935,0,0.309,-5.763,0.0705,132.749,0.588
1XExJX2yD9o5Si6dAlxAto,0.0112,0.245,0.865,0.0109,0.334,-7.159,0.172,181.075,0.547
