id,track_name,artist_name,genre,duration_ms,year,popularity,explicit
01oPNCtTniFT3YM4K3ksTf,Opposite Of Adults,Chiddy Bang,Indie,191600,2010,56,0
01OrNS0PUb0f1W9EacyxyR,Doctor Marihuana,Cartel De Santa,Hip-Hop,266467,2014,64,1
01OUk7upOV5oWavszGavr3,Ain't No Price On Happiness,The Spinners,Soul,243067,1974,26,0
01OXa5tVuCssU6j8TY7kxr,Words,Low,Folk,348800,1994,47,0
01oxuDv2GsOoj6xxhaM8eL,Shoulda Named It After Me,Upchurch,Rap,170547,2018,62,0
01PW4iTCvh9cUHPF0eV7H3,Time Consumer,Coheed and Cambria,Alternative,341693,2002,43,0
01q4ccXbvPlCwZ1fPiFaeM,Girlfriend in a Coma - 2011 Remaster,The Smiths,Dance,122760,1987,56,0
01Q4wU19hamqnhNjtuvTyI,Nobody's Fool,Cinderella,Rock,287400,1986,60,0
01qNIJfMc14nxpOoM0Xwb0,The Fool and Me - 2007 Remaster,Robin Trower,Blues,235720,1974,34,0
01r1q2OykW2e3L17kB5bi3,Last Night,Justin Timberlake,Dance,287267,2002,45,0
01R3dELmvQpeCgQQGHQPS6,Anything To Say You're Mine,Etta James,Blues,155600,1960,39,0
01RVupyBFNuALcAFZjL4FY,My Baby Loves Me,Martina McBride,Country,154960,1993,47,0
01SfTM5nfCou5gQL70r6gs,Golden Slumbers - Remastered 2009,The Beatles,Rock,91760,1969,64,0
01sOUDhgCz6cNoghrnO8bG,Main Title (The Second Star to the Right) / All This Has Happened Before,The Jud Conlon Chorus,Movie,138400,1997,38,0
01teVPgKyIFdbqo65UahOX,Lovin' You,The O'Jays,Soul,318253,1987,50,0
01tFpbYAKvX1x1msvTstC7,Smoke on the Water - 45 Version,Deep Purple,Blues,231307,1973,40,0
01TnVDiet1DFTsyWKUKovl,NUMB,XXXTENTACION,Rap,186268,2018,75,0
01TuObJVd7owWchVRuQbQw,#thatPOWER,will.i.am,Dance,279507,2013,68,0
01TyFEZu6mHbffsVfxgrFn,Show Me How,Men I Trust,Soul,215111,2018,66,0
01TzbTwZ9Mce9mOeBpH03i,Goodbye Love,Guy,R&B,304027,1988,46,0
01u6AEzGbGbQyYVdxajxqk,Don't Be Cruel,Elvis Presley,Rock,122893,1958,61,0
01uqI4H13Gsd8Lyl1EYd8H,Same Love - feat. Mary Lambert,Macklemore & Ryan Lewis,Dance,318525,2012,71,0
01UstUPbzPgq2MNp6h0tVo,The National Anthem,Radiohead,Alternative,351693,2000,58,0
01UYpHuzHi4eB9PAbDoPY2,Summer Breeze,Seals and Crofts,Folk,205480,1972,67,0
01VFDkHBNJcCNUjzD3flWg,The Power of Good-Bye,Madonna,Dance,250560,1998,56,0
01VGA34ATxwp0Xo1ldduo2,Note to Self,J. Cole,Hip-Hop,875307,2014,56,1
01vRKzCUSI0VWLDdV7HTox,Ride a White Swan - 2016 Remaster,T. Rex,Blues,133800,1971,29,0
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,Rock,258853,2018,68,0
01w1oN1WO5aOThHnLBN8eS,American Spirits,Inner Wave,Indie,170000,2013,60,1
01wKeKPgYxdPYA8rfMveYc,Shot You Down (feat. Jay Rock & ScHoolboy Q),Isaiah Rashad,Hip-Hop,426997,2014,56,1
01wsKcJ8ptqUmatpJlEGYj,Ready to Start,Arcade Fire,Alternative,255893,2010,63,0
01XFgRZfZI7oBagNf1Loml,Harlem Shake,Baauer,Electronic,196664,2013,59,0
01xhMrdCefADl7HSttJaf7,Infinite,Eminem,Hip-Hop,251707,1996,56,1
01YidNo562wiolWHBkzlB2,Camelot: Then You May Take Me to the Fair,Julie Andrews,Movie,269507,1960,22,0
01YvpF3BGxZfxLhyj6UREm,Hideaway - Stereo Instrumental,John Mayall & The Bluesbreakers,Blues,193573,1966,34,0
01z3wyn02forxUQHEDAa0R,What's This Life For,Creed,Alternative,248227,1997,53,0
01ZepwW5W3Z4fwl4bzaHyY,Kick It In The Sticks,Brantley Gilbert,Country,225747,2010,63,0
01ZoBkMJAxjPx5gQcNR7Yl,Jailhouse,Sublime,Reggae,292640,1996,54,0
022odEBLFu7Ryy7H3A6tkF,Aruban Nights,Bobby Lyle,Jazz,310893,1997,37,0
023ieUg05POKHTm72t4Qng,Brown Eyed Handsome Man,Waylon Jennings,Country,120733,1970,39,0
023OVLNzXhX0j7CxswUt6D,Cheerleader - Felix Jaehn Remix Radio Edit,OMI,Dance,180560,2015,66,0
025Jb5eFLmoxi7VfVboILd,Stabat Mater: 2. Cujus animam gementem,Gioachino Rossini,Opera,349667,1971,31,0
026VkpZ1VugOyUcbwnb5z1,Cruisin' Down the Highway,James Gang,Blues,195453,1974,38,0
0273i5ysrlovK8rr0KJfQn,Sweet Child O' Mine,Sheryl Crow,Folk,234133,1998,59,0
027CQkZSId1SGW3h7xeOTC,Radio,The Avalanches,Electronic,261960,2000,36,0
027tq4cWr0kRxLTfdxvM1L,4 Seasons Of Loneliness,Boyz II Men,R&B,292400,1997,46,0
028njLMKzGg4gAVSgMeOhm,Hum Hallelujah,Fall Out Boy,Rock,230507,2007,55,0
029l68p4fPYZeAgJ5c60zR,Sweet Harmony,The Beloved,Electronic,301467,1997,58,0
02acUMylPHMjJ9miDc9b38,Ever The Same,Rob Thomas,Rock,256600,2005,61,0
02b0vxOu1dFKNoUR58YVnk,Checkin' Up On My Baby,Taj Mahal,Blues,294427,1968,33,0
02B7SoMf8FmdWJdZTqpnWF,The Heart Of Rock & Roll - Single Edit,Huey Lewis & The News,Folk,245733,2006,43,0
